"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 27 12:43:28 GMT 2022","Mon Jun 27 12:43:28 GMT 2022","0","test","test_main","TestConduitMain","","","test_new_article",""
"passed","Mon Jun 27 12:43:10 GMT 2022","Mon Jun 27 12:43:12 GMT 2022","2256","test","test_login","TestConduitLogin","","","test_sign_in",""
"passed","Mon Jun 27 12:43:03 GMT 2022","Mon Jun 27 12:43:08 GMT 2022","5241","test","test_login","TestConduitLogin","","","test_register",""
"broken","Mon Jun 27 12:43:31 GMT 2022","Mon Jun 27 12:43:31 GMT 2022","0","test","test_main","TestConduitMain","","","test_delete_article",""
"broken","Mon Jun 27 12:43:24 GMT 2022","Mon Jun 27 12:43:24 GMT 2022","0","test","test_main","TestConduitMain","","","test_logout",""
"passed","Mon Jun 27 12:43:14 GMT 2022","Mon Jun 27 12:43:24 GMT 2022","10594","test","test_login","TestConduitLogin","","","test_cookie_bar",""
"broken","Mon Jun 27 12:43:32 GMT 2022","Mon Jun 27 12:43:32 GMT 2022","0","test","test_main","TestConduitMain","","","test_datas_to_file",""
"broken","Mon Jun 27 12:43:30 GMT 2022","Mon Jun 27 12:43:30 GMT 2022","0","test","test_main","TestConduitMain","","","test_edit_article",""
"broken","Mon Jun 27 12:43:33 GMT 2022","Mon Jun 27 12:43:33 GMT 2022","0","test","test_main","TestConduitMain","","","test_datas_from_file",""
"broken","Mon Jun 27 12:43:26 GMT 2022","Mon Jun 27 12:43:26 GMT 2022","0","test","test_main","TestConduitMain","","","test_datas_to_list",""
"broken","Mon Jun 27 12:43:27 GMT 2022","Mon Jun 27 12:43:27 GMT 2022","0","test","test_main","TestConduitMain","","","test_pagination",""
