"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 12:16:57 GMT 2022","Mon Jun 27 12:17:00 GMT 2022","2251","test","test_login","TestConduitLogin","","","test_sign_in",""
"passed","Mon Jun 27 12:17:01 GMT 2022","Mon Jun 27 12:17:12 GMT 2022","10586","test","test_login","TestConduitLogin","","","test_cookie_bar",""
"passed","Mon Jun 27 12:17:53 GMT 2022","Mon Jun 27 12:17:54 GMT 2022","418","test","test_main","TestConduitMain","","","test_datas_to_file",""
"passed","Mon Jun 27 12:17:25 GMT 2022","Mon Jun 27 12:17:27 GMT 2022","2158","test","test_main","TestConduitMain","","","test_pagination",""
"passed","Mon Jun 27 12:17:36 GMT 2022","Mon Jun 27 12:17:41 GMT 2022","4936","test","test_main","TestConduitMain","","","test_edit_article",""
"passed","Mon Jun 27 12:17:31 GMT 2022","Mon Jun 27 12:17:32 GMT 2022","1138","test","test_main","TestConduitMain","","","test_new_article",""
"passed","Mon Jun 27 12:17:58 GMT 2022","Mon Jun 27 12:18:01 GMT 2022","3584","test","test_main","TestConduitMain","","","test_datas_from_file",""
"failed","Mon Jun 27 12:17:45 GMT 2022","Mon Jun 27 12:17:49 GMT 2022","4170","test","test_main","TestConduitMain","","","test_delete_article",""
"passed","Mon Jun 27 12:17:16 GMT 2022","Mon Jun 27 12:17:16 GMT 2022","101","test","test_main","TestConduitMain","","","test_logout",""
"passed","Mon Jun 27 12:17:20 GMT 2022","Mon Jun 27 12:17:21 GMT 2022","607","test","test_main","TestConduitMain","","","test_datas_to_list",""
"passed","Mon Jun 27 12:16:50 GMT 2022","Mon Jun 27 12:16:56 GMT 2022","5245","test","test_login","TestConduitLogin","","","test_register",""
