"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 13 10:08:58 GMT 2022","Mon Jun 13 10:08:59 GMT 2022","1175","test","test_main","TestConduit","","","test_new_article",""
"passed","Mon Jun 13 10:08:48 GMT 2022","Mon Jun 13 10:08:48 GMT 2022","606","test","test_main","TestConduit","","","test_datas_to_list",""
"passed","Mon Jun 13 10:08:18 GMT 2022","Mon Jun 13 10:08:24 GMT 2022","5265","test","test_login","TestConduitLogin","","","test_register",""
"passed","Mon Jun 13 10:08:52 GMT 2022","Mon Jun 13 10:08:54 GMT 2022","2160","test","test_main","TestConduit","","","test_pagination",""
"passed","Mon Jun 13 10:08:29 GMT 2022","Mon Jun 13 10:08:40 GMT 2022","10612","test","test_login","TestConduitLogin","","","test_cookie_bar",""
"passed","Mon Jun 13 10:09:03 GMT 2022","Mon Jun 13 10:09:08 GMT 2022","4915","test","test_main","TestConduit","","","test_edit_article",""
"passed","Mon Jun 13 10:08:44 GMT 2022","Mon Jun 13 10:08:44 GMT 2022","96","test","test_main","TestConduit","","","test_logout",""
"passed","Mon Jun 13 10:09:12 GMT 2022","Mon Jun 13 10:09:16 GMT 2022","3934","test","test_main","TestConduit","","","test_delete_article",""
"passed","Mon Jun 13 10:09:24 GMT 2022","Mon Jun 13 10:09:28 GMT 2022","3498","test","test_main","TestConduit","","","test_datas_from_file",""
"passed","Mon Jun 13 10:09:20 GMT 2022","Mon Jun 13 10:09:20 GMT 2022","414","test","test_main","TestConduit","","","test_datas_to_file",""
"passed","Mon Jun 13 10:08:25 GMT 2022","Mon Jun 13 10:08:28 GMT 2022","2251","test","test_login","TestConduitLogin","","","test_sign_in",""
