"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 12:53:13 GMT 2022","Mon Jun 27 12:53:14 GMT 2022","573","test","test_main","TestConduitMain","","","test_datas_to_list",""
"passed","Mon Jun 27 12:53:18 GMT 2022","Mon Jun 27 12:53:20 GMT 2022","2124","test","test_main","TestConduitMain","","","test_pagination",""
"passed","Mon Jun 27 12:53:24 GMT 2022","Mon Jun 27 12:53:25 GMT 2022","1019","test","test_main","TestConduitMain","","","test_new_article",""
"failed","Mon Jun 27 12:53:38 GMT 2022","Mon Jun 27 12:53:41 GMT 2022","3786","test","test_main","TestConduitMain","","","test_delete_article",""
"passed","Mon Jun 27 12:53:29 GMT 2022","Mon Jun 27 12:53:34 GMT 2022","4760","test","test_main","TestConduitMain","","","test_edit_article",""
"passed","Mon Jun 27 12:52:43 GMT 2022","Mon Jun 27 12:52:49 GMT 2022","5473","test","test_login","TestConduitLogin","","","test_register",""
"passed","Mon Jun 27 12:53:46 GMT 2022","Mon Jun 27 12:53:46 GMT 2022","309","test","test_main","TestConduitMain","","","test_datas_to_file",""
"passed","Mon Jun 27 12:53:09 GMT 2022","Mon Jun 27 12:53:09 GMT 2022","74","test","test_main","TestConduitMain","","","test_logout",""
"passed","Mon Jun 27 12:53:50 GMT 2022","Mon Jun 27 12:53:53 GMT 2022","2883","test","test_main","TestConduitMain","","","test_datas_from_file",""
"passed","Mon Jun 27 12:52:51 GMT 2022","Mon Jun 27 12:52:53 GMT 2022","2196","test","test_login","TestConduitLogin","","","test_sign_in",""
"passed","Mon Jun 27 12:52:55 GMT 2022","Mon Jun 27 12:53:05 GMT 2022","10580","test","test_login","TestConduitLogin","","","test_cookie_bar",""
