"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 18:05:26 GMT 2022","Mon Jun 27 18:05:28 GMT 2022","1165","test","test_main","TestConduitMain","","","test_new_article",""
"passed","Mon Jun 27 18:04:57 GMT 2022","Mon Jun 27 18:05:07 GMT 2022","10561","test","test_login","TestConduitLogin","","","test_cookie_bar",""
"passed","Mon Jun 27 18:04:53 GMT 2022","Mon Jun 27 18:04:55 GMT 2022","2245","test","test_login","TestConduitLogin","","","test_sign_in",""
"passed","Mon Jun 27 18:05:20 GMT 2022","Mon Jun 27 18:05:23 GMT 2022","2171","test","test_main","TestConduitMain","","","test_pagination",""
"passed","Mon Jun 27 18:05:40 GMT 2022","Mon Jun 27 18:05:54 GMT 2022","13745","test","test_main","TestConduitMain","","","test_delete_article",""
"passed","Mon Jun 27 18:04:46 GMT 2022","Mon Jun 27 18:04:51 GMT 2022","5220","test","test_login","TestConduitLogin","","","test_register",""
"passed","Mon Jun 27 18:05:12 GMT 2022","Mon Jun 27 18:05:12 GMT 2022","97","test","test_main","TestConduitMain","","","test_logout",""
"passed","Mon Jun 27 18:05:16 GMT 2022","Mon Jun 27 18:05:17 GMT 2022","596","test","test_main","TestConduitMain","","","test_datas_to_list",""
"passed","Mon Jun 27 18:05:58 GMT 2022","Mon Jun 27 18:05:58 GMT 2022","432","test","test_main","TestConduitMain","","","test_datas_to_file",""
"passed","Mon Jun 27 18:06:02 GMT 2022","Mon Jun 27 18:06:06 GMT 2022","3385","test","test_main","TestConduitMain","","","test_datas_from_file",""
"passed","Mon Jun 27 18:05:32 GMT 2022","Mon Jun 27 18:05:36 GMT 2022","4811","test","test_main","TestConduitMain","","","test_edit_article",""
