"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 13 12:57:18 GMT 2022","Mon Jun 13 12:57:20 GMT 2022","2262","test","test_login","TestConduitLogin","","","test_sign_in",""
"passed","Mon Jun 13 12:57:51 GMT 2022","Mon Jun 13 12:57:52 GMT 2022","1157","test","test_main","TestConduit","","","test_new_article",""
"passed","Mon Jun 13 12:57:45 GMT 2022","Mon Jun 13 12:57:47 GMT 2022","2160","test","test_main","TestConduit","","","test_pagination",""
"passed","Mon Jun 13 12:58:17 GMT 2022","Mon Jun 13 12:58:20 GMT 2022","3318","test","test_main","TestConduit","","","test_datas_from_file",""
"passed","Mon Jun 13 12:58:12 GMT 2022","Mon Jun 13 12:58:13 GMT 2022","413","test","test_main","TestConduit","","","test_datas_to_file",""
"passed","Mon Jun 13 12:57:22 GMT 2022","Mon Jun 13 12:57:33 GMT 2022","10614","test","test_login","TestConduitLogin","","","test_cookie_bar",""
"passed","Mon Jun 13 12:57:11 GMT 2022","Mon Jun 13 12:57:16 GMT 2022","5252","test","test_login","TestConduitLogin","","","test_register",""
"passed","Mon Jun 13 12:57:56 GMT 2022","Mon Jun 13 12:58:01 GMT 2022","4822","test","test_main","TestConduit","","","test_edit_article",""
"passed","Mon Jun 13 12:57:40 GMT 2022","Mon Jun 13 12:57:41 GMT 2022","603","test","test_main","TestConduit","","","test_datas_to_list",""
"passed","Mon Jun 13 12:57:36 GMT 2022","Mon Jun 13 12:57:37 GMT 2022","97","test","test_main","TestConduit","","","test_logout",""
"passed","Mon Jun 13 12:58:05 GMT 2022","Mon Jun 13 12:58:09 GMT 2022","3920","test","test_main","TestConduit","","","test_delete_article",""
