"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 13 07:31:36 GMT 2022","Mon Jun 13 07:31:36 GMT 2022","94","test","test_main","TestConduit","","","test_logout",""
"broken","Mon Jun 13 07:31:40 GMT 2022","Mon Jun 13 07:31:40 GMT 2022","0","test","test_main","","","","test_delete_article",""
"broken","Mon Jun 13 07:31:40 GMT 2022","Mon Jun 13 07:31:40 GMT 2022","0","test","test_main","","","","test_new_article",""
"passed","Mon Jun 13 07:31:40 GMT 2022","Mon Jun 13 07:31:40 GMT 2022","605","test","test_main","TestConduit","","","test_datas_to_list",""
"broken","Mon Jun 13 07:31:40 GMT 2022","Mon Jun 13 07:31:40 GMT 2022","0","test","test_main","","","","test_edit_article",""
"passed","Mon Jun 13 07:31:21 GMT 2022","Mon Jun 13 07:31:32 GMT 2022","10585","test","test_login","TestConduitLogin","","","test_cookie_bar",""
"passed","Mon Jun 13 07:31:10 GMT 2022","Mon Jun 13 07:31:16 GMT 2022","5247","test","test_login","TestConduitLogin","","","test_register",""
"passed","Mon Jun 13 07:31:17 GMT 2022","Mon Jun 13 07:31:20 GMT 2022","2259","test","test_login","TestConduitLogin","","","test_sign_in",""
"broken","Mon Jun 13 07:31:40 GMT 2022","Mon Jun 13 07:31:40 GMT 2022","0","test","test_main","","","","test_datas_to_file",""
"broken","Mon Jun 13 07:31:40 GMT 2022","Mon Jun 13 07:31:40 GMT 2022","0","test","test_main","","","","test_datas_from_file",""
"broken","Mon Jun 13 07:31:40 GMT 2022","Mon Jun 13 07:31:40 GMT 2022","0","test","test_main","","","","test_pagination",""
